"","species_code","species_region","dbh_range","benefit_value","benefit","unit"
"1","ACME","CaNCCoJBK",3.81,2.8,"co2 avoided","kgs"
"2","ACPA","CaNCCoJBK",3.81,0.6,"co2 avoided","kgs"
"3","CICA","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"4","EUGL","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"5","FRVE","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"6","GIBI","CaNCCoJBK",3.81,2.8,"co2 avoided","kgs"
"7","LIST","CaNCCoJBK",3.81,0.8,"co2 avoided","kgs"
"8","LITU","CaNCCoJBK",3.81,1.1,"co2 avoided","kgs"
"9","MAGR","CaNCCoJBK",3.81,0.6,"co2 avoided","kgs"
"10","PICH","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"11","PIRA","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"12","PIUN","CaNCCoJBK",3.81,1,"co2 avoided","kgs"
"13","PLAC","CaNCCoJBK",3.81,2.2,"co2 avoided","kgs"
"14","PRCE","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"15","PYCA","CaNCCoJBK",3.81,4,"co2 avoided","kgs"
"16","PYKA","CaNCCoJBK",3.81,4.5,"co2 avoided","kgs"
"17","QUAG","CaNCCoJBK",3.81,1.7,"co2 avoided","kgs"
"18","ROPS","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"19","SESE","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"20","ULAM","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"21","ULPA","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"22","PIBR2","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"23","PICO5","CaNCCoJBK",3.81,0.5,"co2 avoided","kgs"
"24","PHCA","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"25","PHDA4","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"26","WARO","CaNCCoJBK",3.81,0.2,"co2 avoided","kgs"
"27","BDL OTHER","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"28","BDM OTHER","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"29","BDS OTHER","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"30","CEL OTHER","CaNCCoJBK",3.81,1.5,"co2 avoided","kgs"
"31","CEM OTHER","CaNCCoJBK",3.81,1.6,"co2 avoided","kgs"
"32","CES OTHER","CaNCCoJBK",3.81,0.5,"co2 avoided","kgs"
"33","BEL OTHER","CaNCCoJBK",3.81,1.7,"co2 avoided","kgs"
"34","BEM OTHER","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"35","BES OTHER","CaNCCoJBK",3.81,4.5,"co2 avoided","kgs"
"36","PEL OTHER","CaNCCoJBK",3.81,2.5,"co2 avoided","kgs"
"37","PEM OTHER","CaNCCoJBK",3.81,0.9,"co2 avoided","kgs"
"38","PES OTHER","CaNCCoJBK",3.81,0.2,"co2 avoided","kgs"
"39","ACME","CaNCCoJBK",3.81,2.3,"co2 sequestered","kgs"
"40","ACPA","CaNCCoJBK",3.81,3.1,"co2 sequestered","kgs"
"41","CICA","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"42","EUGL","CaNCCoJBK",3.81,5.2,"co2 sequestered","kgs"
"43","FRVE","CaNCCoJBK",3.81,2.1,"co2 sequestered","kgs"
"44","GIBI","CaNCCoJBK",3.81,1,"co2 sequestered","kgs"
"45","LIST","CaNCCoJBK",3.81,1.9,"co2 sequestered","kgs"
"46","LITU","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"47","MAGR","CaNCCoJBK",3.81,0.7,"co2 sequestered","kgs"
"48","PICH","CaNCCoJBK",3.81,0.8,"co2 sequestered","kgs"
"49","PIRA","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"50","PIUN","CaNCCoJBK",3.81,4,"co2 sequestered","kgs"
"51","PLAC","CaNCCoJBK",3.81,1.5,"co2 sequestered","kgs"
"52","PRCE","CaNCCoJBK",3.81,2.7,"co2 sequestered","kgs"
"53","PYCA","CaNCCoJBK",3.81,1.1,"co2 sequestered","kgs"
"54","PYKA","CaNCCoJBK",3.81,1.2,"co2 sequestered","kgs"
"55","QUAG","CaNCCoJBK",3.81,5.2,"co2 sequestered","kgs"
"56","ROPS","CaNCCoJBK",3.81,5.3,"co2 sequestered","kgs"
"57","SESE","CaNCCoJBK",3.81,1.2,"co2 sequestered","kgs"
"58","ULAM","CaNCCoJBK",3.81,2.4,"co2 sequestered","kgs"
"59","ULPA","CaNCCoJBK",3.81,2.2,"co2 sequestered","kgs"
"60","PIBR2","CaNCCoJBK",3.81,3.6,"co2 sequestered","kgs"
"61","PICO5","CaNCCoJBK",3.81,1,"co2 sequestered","kgs"
"62","PHCA","CaNCCoJBK",3.81,7.9,"co2 sequestered","kgs"
"63","PHDA4","CaNCCoJBK",3.81,5.7,"co2 sequestered","kgs"
"64","WARO","CaNCCoJBK",3.81,14.2,"co2 sequestered","kgs"
"65","BDL OTHER","CaNCCoJBK",3.81,2.4,"co2 sequestered","kgs"
"66","BDM OTHER","CaNCCoJBK",3.81,2.1,"co2 sequestered","kgs"
"67","BDS OTHER","CaNCCoJBK",3.81,2.7,"co2 sequestered","kgs"
"68","CEL OTHER","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"69","CEM OTHER","CaNCCoJBK",3.81,3.6,"co2 sequestered","kgs"
"70","CES OTHER","CaNCCoJBK",3.81,1,"co2 sequestered","kgs"
"71","BEL OTHER","CaNCCoJBK",3.81,5.2,"co2 sequestered","kgs"
"72","BEM OTHER","CaNCCoJBK",3.81,1.4,"co2 sequestered","kgs"
"73","BES OTHER","CaNCCoJBK",3.81,1.2,"co2 sequestered","kgs"
"74","PEL OTHER","CaNCCoJBK",3.81,7.9,"co2 sequestered","kgs"
"75","PEM OTHER","CaNCCoJBK",3.81,5.7,"co2 sequestered","kgs"
"76","PES OTHER","CaNCCoJBK",3.81,14.2,"co2 sequestered","kgs"
"77","ACME","CaNCCoJBK",3.81,5.2,"co2 storage","kgs"
"78","ACPA","CaNCCoJBK",3.81,7.6,"co2 storage","kgs"
"79","CICA","CaNCCoJBK",3.81,3.5,"co2 storage","kgs"
"80","EUGL","CaNCCoJBK",3.81,3.2,"co2 storage","kgs"
"81","FRVE","CaNCCoJBK",3.81,2.8,"co2 storage","kgs"
"82","GIBI","CaNCCoJBK",3.81,2.4,"co2 storage","kgs"
"83","LIST","CaNCCoJBK",3.81,1.8,"co2 storage","kgs"
"84","LITU","CaNCCoJBK",3.81,1.3,"co2 storage","kgs"
"85","MAGR","CaNCCoJBK",3.81,1.7,"co2 storage","kgs"
"86","PICH","CaNCCoJBK",3.81,1.4,"co2 storage","kgs"
"87","PIRA","CaNCCoJBK",3.81,0.8,"co2 storage","kgs"
"88","PIUN","CaNCCoJBK",3.81,3.1,"co2 storage","kgs"
"89","PLAC","CaNCCoJBK",3.81,1.9,"co2 storage","kgs"
"90","PRCE","CaNCCoJBK",3.81,4.5,"co2 storage","kgs"
"91","PYCA","CaNCCoJBK",3.81,2.1,"co2 storage","kgs"
"92","PYKA","CaNCCoJBK",3.81,1.6,"co2 storage","kgs"
"93","QUAG","CaNCCoJBK",3.81,6.3,"co2 storage","kgs"
"94","ROPS","CaNCCoJBK",3.81,8.4,"co2 storage","kgs"
"95","SESE","CaNCCoJBK",3.81,1,"co2 storage","kgs"
"96","ULAM","CaNCCoJBK",3.81,2.6,"co2 storage","kgs"
"97","ULPA","CaNCCoJBK",3.81,2.6,"co2 storage","kgs"
"98","PIBR2","CaNCCoJBK",3.81,1.3,"co2 storage","kgs"
"99","PICO5","CaNCCoJBK",3.81,1.1,"co2 storage","kgs"
"100","PHCA","CaNCCoJBK",3.81,43.9,"co2 storage","kgs"
"101","PHDA4","CaNCCoJBK",3.81,38.1,"co2 storage","kgs"
"102","WARO","CaNCCoJBK",3.81,78.6,"co2 storage","kgs"
"103","BDL OTHER","CaNCCoJBK",3.81,2.6,"co2 storage","kgs"
"104","BDM OTHER","CaNCCoJBK",3.81,2.8,"co2 storage","kgs"
"105","BDS OTHER","CaNCCoJBK",3.81,4.5,"co2 storage","kgs"
